MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 4.Confirmation time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 4.Transparency,UAV.On-board analysis system 4.Analysis time,UAV.On-board analysis system 4.Image recognition algorithm accuracy,UAV.On-board analysis system 4.Transmission delay,UAV.On-board navigation system 4.Navigation algorithm accuracy
37.5000,0.0190,0.0160,0.0006,0.0010,14.2439,3.3306,0.4078,12.3743,9.9421,0.0253,0.1187,0.0224,0.1187,1.4744,14.1251,-17.7167,98.7546,0.2851,0.0016,0.2669,98.7562,0.5886,100.0000,100.0000,0.0342,0.0136,0.2191,1.0000,0.4803,0.9857,1.1844,0.9975
37.5000,0.0245,0.0144,0.0007,0.0009,12.5868,2.3439,0.8535,5.0909,9.4782,0.0316,0.1229,0.0214,0.1229,1.4446,10.3888,-17.1266,103.0514,0.2987,0.0014,0.2464,103.0528,0.5856,100.0000,100.0000,0.0241,0.0148,0.2076,0.9700,0.2790,0.9941,0.6256,0.9882
37.5000,0.0310,0.0103,0.0008,0.0008,16.8298,1.1103,0.1426,1.2339,9.0380,0.0253,0.1402,0.0180,0.1402,1.4076,-0.8670,-41.2172,115.9949,0.3238,0.0021,0.3394,115.9970,0.7061,100.0000,100.0000,0.0119,0.0109,0.3166,1.0000,0.4105,0.9926,0.9050,0.9938
37.5000,0.0186,0.0121,0.0009,0.0009,12.0932,3.6892,0.7481,15.2158,9.3519,0.0303,0.1589,0.0254,0.1589,1.7767,-14.4890,-33.2818,131.6609,0.3736,0.0015,0.2603,131.6623,0.6664,84.7842,84.7842,0.0444,0.0146,0.2013,0.9700,0.3371,0.9851,1.1231,0.9861
37.5000,0.0263,0.0142,0.0010,0.0007,10.9008,4.6902,0.9821,16.2344,8.3052,0.0272,0.1104,0.0190,0.1104,1.2594,19.6324,-6.7855,92.4215,0.2671,0.0012,0.2246,92.4228,0.5339,82.2636,82.2636,0.0577,0.0154,0.1516,0.9500,0.4102,0.9930,0.7946,0.9981
37.5000,0.0283,0.0098,0.0007,0.0006,14.6754,3.5312,0.8210,7.5948,8.6836,0.0296,0.1490,0.0170,0.1490,1.4362,-7.4789,-30.8491,123.5991,0.3445,0.0016,0.2704,123.6007,0.6542,100.0000,100.0000,0.0360,0.0083,0.2261,0.9700,0.3433,0.9996,0.7206,0.9870
37.5000,0.0181,0.0096,0.0007,0.0010,16.8522,3.0281,0.0548,15.5653,8.2494,0.0280,0.1663,0.0226,0.1663,1.7134,-19.3602,-59.1102,137.2619,0.3832,0.0023,0.3830,137.2642,0.7956,84.4347,84.4347,0.0367,0.0131,0.3332,1.0000,0.3591,0.9928,0.7912,0.9832
37.5000,0.0283,0.0155,0.0009,0.0009,8.0986,1.9249,0.7835,11.3386,9.6893,0.0226,0.0861,0.0186,0.0861,1.3228,37.1355,16.2657,72.2933,0.2135,0.0009,0.1596,72.2941,0.4187,100.0000,100.0000,0.0199,0.0156,0.1240,0.9700,0.4289,0.9838,0.6672,0.9981
37.5000,0.0197,0.0126,0.0011,0.0007,11.6688,1.8926,0.9643,1.3353,8.7188,0.0259,0.1008,0.0315,0.1008,1.2782,26.4633,-6.1199,84.5658,0.2591,0.0014,0.2373,84.5672,0.5306,96.4260,96.4260,0.0203,0.0111,0.2059,0.9500,0.2771,0.9860,0.7456,0.9860
37.5000,0.0316,0.0124,0.0006,0.0006,12.9378,2.6764,0.4740,7.9913,8.3793,0.0304,0.1078,0.0258,0.1078,1.0283,21.0277,-13.2185,90.8167,0.2719,0.0015,0.2490,90.8181,0.5661,100.0000,100.0000,0.0276,0.0147,0.2068,1.0000,0.4079,0.9958,1.4088,0.9939
37.5000,0.0206,0.0159,0.0010,0.0006,14.4672,2.8899,0.0904,0.4162,9.4503,0.0306,0.1206,0.0218,0.1206,1.3607,12.1438,-21.5140,101.0331,0.2935,0.0016,0.2760,101.0347,0.6076,100.0000,100.0000,0.0296,0.0139,0.2325,1.0000,0.3605,0.9848,0.6399,0.9972
37.5000,0.0222,0.0097,0.0007,0.0009,14.5256,2.0613,0.3844,13.6215,8.8196,0.0264,0.1401,0.0307,0.1401,1.5655,-0.9285,-30.9350,116.0660,0.3373,0.0017,0.2838,116.0677,0.6547,100.0000,100.0000,0.0215,0.0082,0.2541,1.0000,0.2667,0.9997,1.4246,0.9818
37.5000,0.0284,0.0130,0.0009,0.0006,9.0046,4.1327,0.7783,4.3400,9.0494,0.0191,0.0964,0.0269,0.0964,1.0869,30.4407,12.5862,79.9924,0.2388,0.0008,0.1554,79.9932,0.4371,100.0000,100.0000,0.0421,0.0144,0.0989,0.9700,0.3874,0.9826,1.2060,0.9879
37.5000,0.0254,0.0090,0.0010,0.0010,10.4936,3.0586,0.6364,5.7204,9.7750,0.0295,0.0874,0.0190,0.0874,1.2695,35.3238,9.9377,74.3765,0.2233,0.0011,0.1906,74.3776,0.4503,100.0000,100.0000,0.0312,0.0081,0.1513,1.0000,0.3242,0.9809,0.5201,0.9841
37.5000,0.0203,0.0111,0.0008,0.0008,14.9457,1.0822,0.6582,4.6517,9.3735,0.0174,0.1245,0.0287,0.1245,1.3537,11.0910,-26.2482,102.2435,0.2952,0.0018,0.3030,102.2453,0.6312,100.0000,100.0000,0.0115,0.0140,0.2776,1.0000,0.3924,0.9958,0.6401,1.0000
